epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,90.9917,1.27427,0.72396,0.99826,0.72244,0.000237056,0.000237056,0.000237056
2,179.131,0.73524,0.75347,1,0.58828,0.000465649,0.000465649,0.000465649
3,266.274,0.59756,0.81076,0.99826,0.49066,0.000684819,0.000684819,0.000684819
4,354.586,0.51195,0.85417,0.99653,0.40229,0.000671588,0.000671588,0.000671588
5,443.654,0.43659,0.84896,1,0.37894,0.000657451,0.000657451,0.000657451
6,538.824,0.41437,0.88542,1,0.33785,0.000643314,0.000643314,0.000643314
7,630.777,0.34986,0.87847,1,0.33428,0.000629177,0.000629177,0.000629177
8,730.768,0.32252,0.90278,1,0.26865,0.00061504,0.00061504,0.00061504
9,829.923,0.29194,0.91146,1,0.25345,0.000600902,0.000600902,0.000600902
10,928.862,0.27624,0.91493,1,0.24478,0.000586765,0.000586765,0.000586765
11,1028.25,0.25499,0.92882,0.99826,0.23896,0.000572628,0.000572628,0.000572628
12,1127.13,0.24675,0.92361,1,0.24895,0.000558491,0.000558491,0.000558491
13,1226.26,0.22265,0.92361,1,0.25167,0.000544354,0.000544354,0.000544354
14,1325.83,0.21707,0.93403,1,0.21433,0.000530216,0.000530216,0.000530216
15,1425.41,0.18907,0.9184,1,0.24857,0.000516079,0.000516079,0.000516079
16,1524.46,0.15436,0.93576,1,0.20504,0.000501942,0.000501942,0.000501942
17,1623.15,0.17521,0.93056,1,0.23567,0.000487805,0.000487805,0.000487805
18,1722.24,0.16278,0.9375,1,0.19308,0.000473668,0.000473668,0.000473668
19,1822.23,0.15422,0.9375,1,0.19945,0.00045953,0.00045953,0.00045953
20,1922.97,0.15034,0.94444,1,0.18144,0.000445393,0.000445393,0.000445393
21,2022.76,0.14989,0.93576,1,0.22104,0.000431256,0.000431256,0.000431256
22,2121.89,0.13246,0.94618,1,0.16619,0.000417119,0.000417119,0.000417119
23,2221.95,0.12806,0.95486,1,0.17293,0.000402982,0.000402982,0.000402982
24,2321.48,0.13966,0.94618,1,0.1788,0.000388844,0.000388844,0.000388844
25,2423.18,0.12736,0.94618,1,0.1884,0.000374707,0.000374707,0.000374707
26,2522.66,0.10457,0.95139,1,0.19435,0.00036057,0.00036057,0.00036057
27,2622.01,0.10843,0.94965,1,0.18717,0.000346433,0.000346433,0.000346433
28,2721.29,0.10765,0.94444,1,0.18866,0.000332296,0.000332296,0.000332296
29,2820.64,0.09681,0.94618,1,0.18924,0.000318158,0.000318158,0.000318158
30,2920.38,0.08993,0.94792,1,0.16577,0.000304021,0.000304021,0.000304021
31,3020.38,0.08834,0.94271,1,0.18513,0.000289884,0.000289884,0.000289884
32,3120.08,0.08738,0.94618,1,0.19063,0.000275747,0.000275747,0.000275747
33,3219.3,0.10501,0.94618,1,0.19746,0.00026161,0.00026161,0.00026161
34,3318.6,0.08151,0.95139,1,0.17423,0.000247472,0.000247472,0.000247472
35,3417.85,0.09532,0.94965,1,0.17353,0.000233335,0.000233335,0.000233335
36,3517.66,0.08574,0.94618,1,0.16143,0.000219198,0.000219198,0.000219198
37,3619.37,0.07863,0.95312,1,0.1702,0.000205061,0.000205061,0.000205061
38,3718.96,0.07584,0.94965,1,0.18771,0.000190924,0.000190924,0.000190924
39,3818.17,0.07402,0.95139,1,0.1845,0.000176786,0.000176786,0.000176786
40,3917.21,0.0774,0.95486,1,0.17964,0.000162649,0.000162649,0.000162649
41,4016.82,0.07061,0.95139,1,0.17042,0.000148512,0.000148512,0.000148512
42,4117.23,0.07066,0.95486,1,0.1867,0.000134375,0.000134375,0.000134375
43,4217.23,0.06998,0.94792,1,0.18967,0.000120238,0.000120238,0.000120238
44,4317.03,0.06239,0.94965,1,0.19014,0.0001061,0.0001061,0.0001061
45,4416.65,0.06533,0.94792,1,0.18317,9.19632e-05,9.19632e-05,9.19632e-05
46,4516.55,0.06157,0.95139,1,0.18201,7.7826e-05,7.7826e-05,7.7826e-05
47,4619.4,0.05959,0.94965,1,0.18188,6.36888e-05,6.36888e-05,6.36888e-05
48,4725.41,0.06074,0.94965,1,0.17836,4.95516e-05,4.95516e-05,4.95516e-05
49,4824.47,0.06035,0.94965,1,0.18452,3.54144e-05,3.54144e-05,3.54144e-05
50,4923.44,0.06257,0.94792,1,0.18286,2.12772e-05,2.12772e-05,2.12772e-05
